ID_Nac;X;Y
CSp-NVI_A4-92-0024;-79,575;-3,167
CSp-NV_E4-87-0037;-79,574;-2,931
CSp-NV_E4-87-0040;-79,573;-2,928
CSp-NVI_A4-100-0002;-79,573;-3,286
CSp-NV_E4-97-0076;-79,573;-2,853
CSp-NVI_A4-92-0002;-79,572;-3,22
CSp-NV_E4-87-0039;-79,572;-2,926
CSp-NVI_A2-100-0007;-79,571;-3,015
CSp-NV_E4-90-0066;-79,571;-2,857
CSp-NVI_E2-92-0031;-79,569;-3,76
CSp-NV_E4-87-0038;-79,57;-2,926
CSp-NV_E4-94-0043;-79,569;-2,894
CSp-NVI_A2-94-0012;-79,569;-3,125
CSp-NVI_A2-94-0011;-79,568;-3,127
CSp-NIII_A2-89-0006;-79,57;-0,072
CSp-NVI_A2-100-0006;-79,568;-3,016
CSp-NVI_E2-95-0066;-79,566;-3,706
CSp-NVI_C2-99-0051;-79,567;-3,468
CSp-NV_E4-94-0044;-79,567;-2,891
