ID_Nac;Hor;Hmor;Mor_Pp;Mor_suf;Mor_ sec;Lim_sup;Lim_inf;CO;pH_H2O;PH;CE_dS/m
CSp-ÑVI_A4-89-0076;2;C;C;;1;25;150;0;0;0;0
CSp-ÑVI_A4-89-0077;1;A;A;;1;0;62;3,196;5,82;0,0582;0,04
CSp-ÑVI_A4-89-0077;2;Cr;C;r;1;62;110;0;0;0;0
CSp-ÑVI_A4-89-0078;1;Ap;A;p;1;0;20;0,644;5,92;0,0592;0,04
CSp-ÑVI_A4-89-0078;2;Bw;B;w;1;20;42;0,325;6,13;0,0613;0,03
CSp-ÑVI_A4-89-0078;3;BC;B;C;1;42;65;0;0;0;0
CSp-ÑVI_A4-89-0078;4;Cr;C;r;1;65;140;0;0;0;0
CSp-ÑVI_A4-89-0079;1;Ap;A;p;1;0;18;3,364;5,08;0,0508;0,05
CSp-ÑVI_A4-89-0079;2;Bw;B;w;1;18;60;1,253;6,64;0,0664;0,03
CSp-ÑVI_A4-89-0079;3;C;C;;1;60;130;0;0;0;0
